RA,Dec,Rplanet,P,S/SEarth,K,Rstar,Teff,Vmag,Imag,Jmag,Kmag,Dist,Dil,log10,SNR,Mult.
0.439,45.22,3.311,9.135,361.7,2.031,1.413,6531,8.471,7.974,7.63,7.415,5,1.001,-4.87,16.84,1
0.4803,-66.2,2.187,14.2,2.053,3.111,0.3214,3426,15.08,12.83,11.56,10.79,3.9,1.009,-4.219,12.32,3
0.6458,42.94,1.743,4.957,235,1.66,0.955,5546,10.12,9.346,8.807,8.415,4.95,1.001,-4.644,7.547,0
0.9241,-26.07,1.475,2.16,1240,1.945,1.125,5984,8.065,7.424,6.976,6.667,3.65,1,-4.502,8.371,0
1.314,-24.95,2.288,9.753,5.917,2.951,0.4243,3622,14.19,12.15,10.99,10.19,4.1,1,-4.439,8.626,2
1.384,10.61,2.324,13.99,2.086,3.322,0.3204,3425,15.04,12.79,11.52,10.74,3.85,1.069,-3.499,7.815,2
1.783,-71.93,3.294,8.42,4.45,5.229,0.3365,3444,15.29,13.06,11.79,11.02,4.25,1,-4.387,26.36,2
1.789,-9.144,2.808,5.618,2.564,9.154,0.1666,3228,15.05,12.52,11.13,10.36,1.85,2.279,-4.409,28.71,3
1.948,-17,17.15,1.344,1.016e+04,16.03,2.107,6668,7.513,7.053,6.724,6.526,5,1,-4.424,457.4,2
2.172,-15.53,4.801,17.14,341.2,2.099,2.107,6668,7.513,7.053,6.724,6.526,5,1,-4.682,13.1,2
4.071,9.507,1.974,11.45,1.548,4.091,0.2246,3300,14.96,12.55,11.21,10.44,2.65,1,-4.5,17.7,2
4.634,-23.5,4.713,5.172,116.3,4.603,0.8045,5000,9.517,8.54,7.853,7.321,3.35,1,-4.68,64.01,0
4.788,78.63,1.562,0.6209,71.16,8.919,0.2172,3283,15.94,13.5,12.14,11.38,3.5,1.001,-4.427,16.95,2
5.322,-55.55,2.846,18.16,2.409,3.006,0.4119,3592,14.23,12.15,10.98,10.18,4,1,-4.464,15.49,2
5.704,50.73,2.242,2.751,308.3,2.82,0.8026,5188,11.28,10.4,9.769,9.277,5.35,1.012,-4.668,10.6,2
5.951,-28.67,3.751,17.75,4.304,3.46,0.5037,3844,11.73,9.938,8.887,8.078,2.55,1,-4.293,52.46,1
6.166,32.45,1.112,0.7912,53.39,2.954,0.2244,3304,14.81,12.41,11.08,10.32,2.65,1.002,-3.499,8.483,2
6.521,-4.048,1.53,7.512,4.784,2.782,0.318,3435,13.66,11.43,10.17,9.406,2.5,1.001,-3.487,8.256,2
6.662,-79.38,2.308,1.887,45.53,5.482,0.3964,3551,14.42,12.3,11.1,10.31,4,1.003,-3.487,19.91,0
7.592,-79.92,7.716,3.921,320.7,7.407,0.912,5623,11.06,10.32,9.794,9.404,5.85,1.004,-4.545,96.5,1
8.071,-77.19,1.492,1.018,887.9,3.504,0.7028,5030,8.001,7.046,6.398,5.847,1.6,1,-4.735,40.7,1
8.396,-53.97,2.384,5.59,6.768,4.554,0.3122,3442,14.14,11.91,10.66,9.888,2.95,1.246,-3.599,20.29,3
8.919,67.42,2.936,29.94,1.286,2.607,0.4166,3611,13.33,11.3,10.14,9.347,3.2,1.09,-3.695,18.14,1
9.843,-11.83,2.817,6.279,62.93,2.983,0.6872,4819,11.69,10.6,9.878,9.258,4.9,1,-4.848,17.22,0
10.47,-40.6,1.711,15.14,1.342,2.827,0.2613,3359,14.51,12.18,10.87,10.11,2.7,1.023,-3.487,9.068,1
10.55,-27.3,3.601,5.991,283.9,2.963,1.044,5970,9.854,9.215,8.756,8.435,5.25,1,-4.523,22.5,0
11.07,-52.75,2.399,17.18,0.8516,4.354,0.2183,3287,15.54,13.1,11.74,10.98,3.1,1,-4.32,17.84,1
11.14,29.35,2.43,8.665,13.32,2.805,0.5327,3948,12.8,11.09,10.08,9.269,3.95,1.006,-4.457,13.84,2
11.15,-49.04,1.509,8.123,6.418,2.273,0.3926,3557,13.67,11.56,10.37,9.584,3.25,1.026,-4.449,10.7,1
11.21,37.35,2.637,1.976,28.93,7.017,0.3246,3437,14.67,12.43,11.18,10.4,3.55,1.02,-4.008,22.6,3
11.55,-44.67,5.265,39.43,56.63,1.9,1.47,6577,8.655,8.164,7.825,7.619,5.3,1,-4.009,14.55,0
11.91,-67.75,3.666,4.781,216.5,3.686,0.8379,5598,11.69,10.94,10.4,10,6.25,1.007,-3.771,20.44,0
12.01,74.53,3.854,1.852,11.79,17.24,0.1735,3225,16.89,14.36,12.95,12.18,3.75,1.099,-3.487,45.84,3
12.09,-51.66,11.96,40.02,16.08,4.97,0.9864,5598,10.31,9.551,9.019,8.634,5.25,1.015,-4.743,169.9,0
12.26,-60.31,2.122,10.35,3.354,3.187,0.3336,3467,13.88,11.68,10.44,9.669,2.9,1.001,-3.525,13.26,2
12.32,75.64,6.92,5.247,513.2,5.254,1.203,6295,10.12,9.569,9.176,8.914,6.1,1.542,-4.115,64.28,1
12.41,-10.21,2.974,6.844,2.187,8.506,0.1808,3230,16.63,14.1,12.7,11.93,3.6,1,-4.387,9.031,0
12.64,-53.86,1.729,2.397,20.93,4.479,0.3122,3442,14.14,11.91,10.66,9.888,2.95,1,-3.95,17.68,3
12.93,-13.89,12.98,6.035,8420,5.132,2.502,1.059e+04,6.034,6.136,6.149,6.208,5.55,1,-4.165,61.44,1
12.97,58.3,2.773,13.71,422.9,1.347,1.561,7603,9.017,8.772,8.572,8.483,6.45,1.063,-4.502,7.872,1
13.05,74.71,1.474,1.055,81.39,5.179,0.3616,3490,15.02,12.84,11.6,10.82,4.25,1.302,-3.61,7.904,2
13.41,27.05,3.206,11.65,84.23,2.208,0.9588,5689,10.53,9.813,9.3,8.929,5.5,1.007,-4.84,13.23,1
